#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,8,8,8,8,8,0.000064
1,8,8,16,142,150,0.001200
2,8,8,24,593,743,0.005944
3,8,8,32,1293,2036,0.016288
4,8,8,40,2660,4696,0.037568
5,8,7,47,4706,9402,0.075216
6,8,7,54,7168,16570,0.132560
7,8,8,62,10025,26595,0.212760
8,8,7,69,12737,39332,0.314656
9,8,6,75,15323,54655,0.437240
10,8,6,81,15526,70181,0.561448
11,8,6,87,14159,84340,0.674720
12,8,4,91,12281,96621,0.772968
13,8,2,93,9949,106570,0.852560
14,8,2,95,7497,114067,0.912536
