#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,3,3,3,3,3,0.000000
1,3,3,6,8799,8802,0.000550
2,3,3,9,23427,32229,0.002014
3,3,3,12,40514,72743,0.004546
4,3,3,15,57793,130536,0.008159
5,3,3,18,77102,207638,0.012977
6,3,3,21,97365,305003,0.019063
7,3,3,24,117652,422655,0.026416
8,3,3,27,135503,558158,0.034885
9,3,3,30,150082,708240,0.044265
10,3,3,33,173361,881601,0.055100
11,3,3,36,182181,1063782,0.066486
12,3,3,39,206920,1270702,0.079419
13,3,3,42,234186,1504888,0.094056
14,3,3,45,238538,1743426,0.108964
15,3,3,48,261674,2005100,0.125319
16,3,3,51,286661,2291761,0.143235
17,3,3,54,308446,2600207,0.162513
18,3,3,57,302346,2902553,0.181410
19,3,3,60,324033,3226586,0.201662
20,3,1,61,347257,3573843,0.223365
21,3,2,63,366383,3940226,0.246264
22,3,3,66,380782,4321008,0.270063
23,3,1,67,397794,4718802,0.294925
24,3,3,70,372104,5090906,0.318182
25,3,2,72,379351,5470257,0.341891
26,3,3,75,383663,5853920,0.365870
27,3,1,76,388325,6242245,0.390140
28,3,2,78,390724,6632969,0.414561
29,3,1,79,391316,7024285,0.439018
30,3,2,81,393689,7417974,0.463623
31,3,1,82,387961,7805935,0.487871
32,3,1,83,343373,8149308,0.509332
33,3,2,85,342552,8491860,0.530741
34,3,2,87,340315,8832175,0.552011
35,3,1,88,340766,9172941,0.573309
36,3,1,89,339887,9512828,0.594552
37,3,1,90,335229,9848057,0.615504
38,3,1,91,331998,10180055,0.636253
39,3,0,91,326768,10506823,0.656676
40,3,1,92,323603,10830426,0.676902
41,3,1,93,321443,11151869,0.696992
42,3,0,93,318412,11470281,0.716893
43,3,1,94,314780,11785061,0.736566
44,3,1,95,269312,12054373,0.753398
45,3,2,97,260860,12315233,0.769702
46,3,0,97,256058,12571291,0.785706
47,3,0,97,248056,12819347,0.801209
48,3,0,97,242333,13061680,0.816355
49,3,0,97,237881,13299561,0.831223
50,3,0,97,229094,13528655,0.845541
51,3,0,97,220739,13749394,0.859337
52,3,1,98,209784,13959178,0.872449
53,3,0,98,199047,14158225,0.884889
54,3,1,99,189535,14347760,0.896735
55,3,1,100,176497,14524257,0.907766
56,3,0,100,161270,14685527,0.917845
57,3,0,100,148537,14834064,0.927129
58,3,1,101,135473,14969537,0.935596
59,3,0,101,123448,15092985,0.943312
