#alpha;r;gamma;n;K
7.6000000000000001E-01;7.1999999999999997E-01;-1.3339325975237977E+00;1.7200000000000000E+00;9.6493966834765473E+01
7.6500000000000001E-01;7.0499999999999996E-01;-1.3256828903803526E+00;1.7050000000000001E+00;1.0214945747130039E+02
7.7000000000000002E-01;6.8999999999999995E-01;-1.3174952870855501E+00;1.6899999999999999E+00;1.0828431717642397E+02
7.7500000000000002E-01;6.7499999999999993E-01;-1.3093692796954561E+00;1.6749999999999998E+00;1.1495148683197424E+02
7.8000000000000003E-01;6.5999999999999992E-01;-1.3013043646213840E+00;1.6599999999999999E+00;1.2221115370223370E+02
7.8500000000000003E-01;6.4499999999999991E-01;-1.2933000425914003E+00;1.6450000000000000E+00;1.3013194235389597E+02
7.9000000000000004E-01;6.2999999999999989E-01;-1.2853558186121208E+00;1.6299999999999999E+00;1.3879233545104432E+02
7.9500000000000004E-01;6.1499999999999988E-01;-1.2774712019309016E+00;1.6149999999999998E+00;1.4828237569749740E+02
8.0000000000000004E-01;5.9999999999999987E-01;-1.2696457059983695E+00;1.5999999999999999E+00;1.5870571324979630E+02
8.0500000000000005E-01;5.8499999999999985E-01;-1.2618788484312660E+00;1.5850000000000000E+00;1.7018207972909414E+02
8.1000000000000005E-01;5.6999999999999984E-01;-1.2541701509756467E+00;1.5699999999999998E+00;1.8285029172993842E+02
8.1500000000000006E-01;5.5499999999999983E-01;-1.2465191394704349E+00;1.5549999999999997E+00;1.9687191510401135E+02
8.2000000000000006E-01;5.3999999999999981E-01;-1.2389253438112660E+00;1.5399999999999998E+00;2.1243575854102659E+02
8.2500000000000007E-01;5.2499999999999980E-01;-1.2313882979146844E+00;1.5249999999999999E+00;2.2976341418816295E+02
8.3000000000000007E-01;5.0999999999999979E-01;-1.2239075396826931E+00;1.5099999999999998E+00;2.4911612857372168E+02
8.3499999999999996E-01;4.9500000000000011E-01;-1.2164826109675686E+00;1.4950000000000001E+00;2.7080337501017175E+02
8.3999999999999997E-01;4.8000000000000009E-01;-1.2091130575370550E+00;1.4800000000000000E+00;2.9519361756275742E+02
8.4499999999999997E-01;4.6500000000000008E-01;-1.2017984290398567E+00;1.4650000000000001E+00;3.2272791891238455E+02
8.4999999999999998E-01;4.5000000000000007E-01;-1.1945382789714567E+00;1.4500000000000002E+00;3.5393726784339441E+02
8.5499999999999998E-01;4.3500000000000005E-01;-1.1873321646402428E+00;1.4350000000000001E+00;3.8946481270744761E+02
8.5999999999999999E-01;4.2000000000000004E-01;-1.1801796471339612E+00;1.4199999999999999E+00;4.3009462359109358E+02
8.6499999999999999E-01;4.0500000000000003E-01;-1.1730802912864944E+00;1.4050000000000000E+00;4.7678922574261821E+02
8.7000000000000000E-01;3.9000000000000001E-01;-1.1660336656449326E+00;1.3900000000000001E+00;5.3073903761717463E+02
8.7500000000000000E-01;3.7500000000000000E-01;-1.1590393424369865E+00;1.3750000000000000E+00;5.9342814332773708E+02
