#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,3,3,3,3,3,0.000000
1,3,3,6,2151,2154,0.000138
2,3,3,9,13618,15772,0.001009
3,3,3,12,42196,57968,0.003710
4,3,3,15,97392,155360,0.009943
5,3,3,18,185973,341333,0.021845
6,3,3,21,312288,653621,0.041832
7,3,3,24,476660,1130281,0.072338
8,3,3,27,657554,1787835,0.114421
9,3,3,30,842491,2630326,0.168341
10,3,2,32,1030264,3660590,0.234278
11,3,3,35,1200974,4861564,0.311140
12,3,3,38,1340069,6201633,0.396905
13,3,3,41,1428803,7630436,0.488348
14,3,1,42,1443891,9074327,0.580757
15,3,3,45,1374747,10449074,0.668741
16,3,1,46,1209625,11658699,0.746157
17,3,1,47,1013772,12672471,0.811038
18,3,2,49,835872,13508343,0.864534
19,3,0,49,677775,14186118,0.907912
20,3,0,49,513762,14699880,0.940792
