# basename, dimensions, volume_space, volume_fill, clusters, fit_n, fit_k, theo_n, theo_k
avrami_5d_instant_parabolic,5,17210368,16756075,50,9.3564004738,1.2477352278E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16399325,50,9.2549889905,1.4871774811E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16763311,50,9.2461481381,1.5542634743E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,17020225,50,9.1060740044,2.0075909920E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16815142,50,9.3278944100,1.3889345973E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16838206,50,9.3344526294,1.3269448057E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16823070,50,9.2495113812,1.6843863954E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16668354,50,9.1224594683,1.8860565059E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16810189,50,9.1910732774,1.7423124164E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16920786,50,9.4085138570,1.3058332377E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16984253,50,9.5547600721,9.0377351623E-10,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16927707,50,9.2695155599,1.6513275003E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16621907,50,9.1054045599,2.0563088048E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16647003,50,9.1895655629,1.8228808501E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16957744,50,9.5757585677,8.7132129911E-10,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16834500,50,9.4480601360,1.0671272214E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16803607,50,9.2786974607,1.5833049488E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16839356,50,9.3902214724,1.2208255544E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16932841,50,9.5071018889,1.0574094609E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,17002807,50,9.4974191542,1.0967009802E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16923946,50,9.4312076385,1.1276138833E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16443991,50,9.2682251054,1.4962210746E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16894288,50,9.4172607761,1.1191792769E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16820024,50,9.3130903811,1.3411359559E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16816140,50,9.2894415148,1.4427257633E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16813153,50,9.4065879163,1.2060739958E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16807709,50,9.3133564357,1.4049550621E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16694142,50,9.2846476914,1.5123470748E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16776176,50,9.2530572327,1.6422107017E-09,5.0000000000,3.7160760606E-03
avrami_5d_instant_parabolic,5,17210368,16949183,50,9.5019021881,1.0530049525E-09,5.0000000000,3.7160760606E-03
