#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,50,50,50,50,50,0.000003
1,0,0,50,0,50,0.000003
2,0,0,50,0,50,0.000003
3,0,0,50,1579,1629,0.000097
4,0,0,50,9717,11346,0.000676
5,0,0,50,25171,36517,0.002177
6,0,0,50,59689,96206,0.005734
7,0,0,50,310159,406365,0.024221
8,0,0,50,670072,1076437,0.064161
9,0,0,50,1208736,2285173,0.136207
10,0,0,50,1712051,3997224,0.238253
11,0,0,50,3314580,7311804,0.435817
12,0,0,50,3449947,10761751,0.641450
13,0,0,50,2630093,13391844,0.798216
14,0,0,50,1664206,15056050,0.897411
