#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,3,3,3,3,3,0.000000
1,3,3,6,33,36,0.000002
2,3,3,9,63,99,0.000006
3,3,3,12,93,192,0.000012
4,3,3,15,123,315,0.000020
5,3,3,18,153,468,0.000029
6,3,3,21,183,651,0.000041
7,3,3,24,213,864,0.000054
8,3,3,27,243,1107,0.000069
9,3,3,30,273,1380,0.000086
10,3,3,33,303,1683,0.000105
11,3,3,36,333,2016,0.000126
12,3,3,39,363,2379,0.000149
13,3,3,42,393,2772,0.000173
14,3,3,45,423,3195,0.000200
15,3,3,48,453,3648,0.000228
16,3,3,51,483,4131,0.000258
17,3,3,54,513,4644,0.000290
18,3,3,57,543,5187,0.000324
19,3,3,60,573,5760,0.000360
20,3,3,63,603,6363,0.000398
21,3,3,66,633,6996,0.000437
22,3,3,69,663,7659,0.000479
23,3,3,72,693,8352,0.000522
24,3,3,75,723,9075,0.000567
25,3,3,78,753,9828,0.000614
26,3,3,81,783,10611,0.000663
27,3,3,84,813,11424,0.000714
28,3,3,87,843,12267,0.000767
29,3,3,90,873,13140,0.000821
30,3,3,93,903,14043,0.000878
31,3,3,96,933,14976,0.000936
32,3,3,99,963,15939,0.000996
33,3,3,102,993,16932,0.001058
34,3,3,105,1023,17955,0.001122
35,3,3,108,1053,19008,0.001188
36,3,3,111,1083,20091,0.001256
37,3,3,114,1113,21204,0.001325
38,3,3,117,1143,22347,0.001397
39,3,3,120,1173,23520,0.001470
40,3,3,123,1203,24723,0.001545
41,3,3,126,1233,25956,0.001622
42,3,3,129,1263,27219,0.001701
43,3,3,132,1293,28512,0.001782
44,3,3,135,1323,29835,0.001865
45,3,3,138,1353,31188,0.001949
46,3,3,141,1383,32571,0.002036
47,3,3,144,1413,33984,0.002124
48,3,3,147,1443,35427,0.002214
49,3,3,150,1473,36900,0.002306
50,3,3,153,1503,38403,0.002400
51,3,3,156,1533,39936,0.002496
52,3,3,159,1563,41499,0.002594
53,3,3,162,1593,43092,0.002693
54,3,3,165,1623,44715,0.002795
55,3,3,168,1653,46368,0.002898
56,3,3,171,1683,48051,0.003003
57,3,3,174,1713,49764,0.003110
58,3,3,177,1743,51507,0.003219
59,3,3,180,1773,53280,0.003330
60,3,3,183,1803,55083,0.003443
61,3,3,186,1833,56916,0.003557
62,3,3,189,1863,58779,0.003674
63,3,2,191,1892,60671,0.003792
64,3,3,194,1913,62584,0.003912
65,3,3,197,1943,64527,0.004033
66,3,3,200,1973,66500,0.004156
67,3,3,203,2003,68503,0.004281
68,3,3,206,2033,70536,0.004409
69,3,3,209,2063,72599,0.004537
70,3,3,212,2093,74692,0.004668
71,3,3,215,2123,76815,0.004801
72,3,3,218,2153,78968,0.004935
73,3,3,221,2183,81151,0.005072
74,3,3,224,2213,83364,0.005210
75,3,3,227,2243,85607,0.005350
76,3,3,230,2273,87880,0.005492
77,3,3,233,2303,90183,0.005636
78,3,3,236,2333,92516,0.005782
79,3,2,238,2362,94878,0.005930
80,3,3,241,2383,97261,0.006079
81,3,3,244,2413,99674,0.006230
82,3,3,247,2443,102117,0.006382
83,3,3,250,2473,104590,0.006537
84,3,3,253,2503,107093,0.006693
85,3,3,256,2533,109626,0.006852
86,3,3,259,2563,112189,0.007012
87,3,3,262,2593,114782,0.007174
88,3,3,265,2623,117405,0.007338
89,3,2,267,2652,120057,0.007504
90,3,3,270,2673,122730,0.007671
91,3,3,273,2703,125433,0.007840
92,3,3,276,2733,128166,0.008010
93,3,3,279,2763,130929,0.008183
94,3,3,282,2793,133722,0.008358
95,3,3,285,2823,136545,0.008534
96,3,3,288,2853,139398,0.008712
97,3,3,291,2883,142281,0.008893
98,3,3,294,2913,145194,0.009075
99,3,3,297,2943,148137,0.009259
100,3,3,300,2973,151110,0.009444
101,3,3,303,3003,154113,0.009632
102,3,3,306,3033,157146,0.009822
103,3,3,309,3063,160209,0.010013
104,3,3,312,3093,163302,0.010206
105,3,3,315,3123,166425,0.010402
106,3,3,318,3153,169578,0.010599
107,3,3,321,3183,172761,0.010798
108,3,3,324,3213,175974,0.010998
109,3,3,327,3243,179217,0.011201
110,3,3,330,3273,182490,0.011406
111,3,3,333,3303,185793,0.011612
112,3,3,336,3333,189126,0.011820
113,3,3,339,3363,192489,0.012031
114,3,3,342,3393,195882,0.012243
115,3,2,344,3422,199304,0.012457
116,3,3,347,3443,202747,0.012672
117,3,3,350,3473,206220,0.012889
118,3,3,353,3503,209723,0.013108
119,3,3,356,3533,213256,0.013329
120,3,3,359,3563,216819,0.013551
121,3,3,362,3593,220412,0.013776
122,3,3,365,3623,224035,0.014002
123,3,3,368,3643,227678,0.014230
124,3,3,371,3673,231351,0.014459
125,3,2,373,3702,235053,0.014691
126,3,3,376,3721,238774,0.014923
127,3,2,378,3742,242516,0.015157
128,3,3,381,3763,246279,0.015392
129,3,3,384,3793,250072,0.015630
130,3,3,387,3823,253895,0.015868
131,3,3,390,3853,257748,0.016109
132,3,3,393,3883,261631,0.016352
133,3,3,396,3913,265544,0.016597
134,3,3,399,3943,269487,0.016843
135,3,3,402,3973,273460,0.017091
136,3,3,405,3993,277453,0.017341
137,3,3,408,4020,281473,0.017592
138,3,3,411,4043,285516,0.017845
139,3,3,414,4073,289589,0.018099
140,3,3,417,4103,293692,0.018356
141,3,3,420,4133,297825,0.018614
142,3,3,423,4163,301988,0.018874
143,3,3,426,4193,306181,0.019136
144,3,3,429,4220,310401,0.019400
145,3,3,432,4243,314644,0.019665
146,3,3,435,4273,318917,0.019932
147,3,3,438,4303,323220,0.020201
148,3,3,441,4333,327553,0.020472
149,3,3,444,4363,331916,0.020745
