#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,50,50,50,50,50,0.000003
1,0,0,50,2410,2460,0.000143
2,0,0,50,24051,26511,0.001540
3,0,0,50,99205,125716,0.007305
4,0,0,50,281574,407290,0.023665
5,0,0,50,622589,1029879,0.059841
6,0,0,50,1088879,2118758,0.123109
7,0,0,50,1699628,3818386,0.221865
8,0,0,50,2164693,5983079,0.347644
9,0,0,50,2394661,8377740,0.486784
10,0,0,50,2397504,10775244,0.626090
11,0,0,50,2052229,12827473,0.745334
12,0,0,50,1620698,14448171,0.839504
13,0,0,50,1125451,15573622,0.904898
14,0,0,50,726694,16300316,0.947122
