# basename, dimensions, volume_space, volume_fill, clusters, fit_n, fit_k, theo_n, theo_k
avrami_5d_instant,5,9765625,9426166,50,4.0102276122,2.3252331574E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9691990,50,4.1459196726,2.3272888754E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9337736,50,4.1725712557,2.1404445024E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9557362,50,4.0916461918,2.2120874435E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9679871,50,4.1269259090,2.0554025638E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9655827,50,4.1017974181,2.2273797278E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9652022,50,4.0864760040,2.1334071595E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9679479,50,4.1451892223,2.1448363213E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9633826,50,4.1157514255,2.2599147495E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9694914,50,4.1281635218,2.0769816635E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9592285,50,4.0966313733,2.1325050422E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9625251,50,4.0290821299,2.3739542644E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9582607,50,4.1398620613,2.1763475350E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9651704,50,4.1002993499,2.2611870126E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9680558,50,4.1813164773,2.0137656048E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9368415,50,4.2732000933,1.8214531283E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9668688,50,4.1457530218,2.2705792990E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9502408,50,4.0835033507,2.2390722161E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9587344,50,4.0481988885,2.3247063861E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9596014,50,4.1335864382,2.0946542167E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9299672,50,4.1714859992,2.1131048824E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9640158,50,4.1647061009,2.1721603050E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9656993,50,4.0035479564,2.1927451704E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9659263,50,4.1263211302,2.2458893770E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9647171,50,4.0451020269,2.3217394094E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9692803,50,4.0652705040,2.3710739380E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9620876,50,4.0334109020,2.2006067944E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9626181,50,4.1572827750,2.2588697745E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9507450,50,4.0066695243,2.4057591115E-03,5.0000000000,8.6241919204E-04
avrami_5d_instant,5,9765625,9631708,50,4.1717100466,2.0412882710E-03,5.0000000000,8.6241919204E-04
