# basename, dimensions, volume_space, volume_fill, clusters, fit_n, fit_k, theo_n, theo_k
avrami_3d_instant,3,125000,120262,64,2.5390166097,5.4810799597E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,120162,64,2.6107885411,5.0208349984E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,120773,64,2.5415483032,5.3163952727E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,119167,64,2.4545748294,5.8038708035E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,121851,64,2.5375149266,5.4976959465E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,120434,64,2.5256547190,5.7352662824E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,121013,64,2.5516064354,5.4725484617E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,119586,64,2.5810836574,4.8144142098E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,119775,64,2.5602766202,5.4092469592E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,120560,64,2.5808805044,5.4174234258E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,119793,64,2.6020943378,4.9413192986E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,120900,64,2.6659508027,4.6606955244E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,120589,64,2.4584159436,6.0578375459E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,120519,64,2.4406536264,6.3820283208E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,121143,64,2.6167575339,4.6855900412E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,121238,64,2.4916413494,5.8453670547E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,120172,64,2.6144931893,4.5900812702E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,120752,64,2.4197845333,6.3399755363E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,120750,64,2.7085139159,4.2919570193E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,120023,64,2.4913723840,6.0037564508E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,119710,64,2.5075893720,5.7107158147E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,119730,64,2.5097378247,5.6577767768E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,119344,64,2.4782468819,6.2367142744E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,120642,64,2.4805755718,6.0876548656E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,120230,64,2.5050956701,5.5350476853E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,119852,64,2.4762905303,5.7578902791E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,120148,63,2.5414733853,5.4003168636E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,120122,64,2.6576194265,4.6653360562E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,118811,64,2.4826102211,5.8584377661E-03,3.0000000000,2.1446605849E-03
avrami_3d_instant,3,125000,120880,64,2.4199131028,6.2428995468E-03,3.0000000000,2.1446605849E-03
