#id,creation_time,radius,volume,volume_perc,center_r1,center_r2,center_r3,center_r4,center_r5,center_r6
0,0,20,1,0.000000,13,4,0,9,15,14,
1,0,20,1,0.000000,0,8,15,5,7,0,
2,0,20,1,0.000000,6,0,9,3,3,3,
3,1,12,1,0.000000,3,2,13,14,0,0,
4,1,12,1,0.000000,14,14,11,7,1,4,
5,1,12,1,0.000000,11,14,8,11,7,7,
6,2,6,1,0.000000,10,8,0,9,13,7,
7,2,6,1,0.000000,10,3,7,3,6,10,
8,2,6,1,0.000000,6,9,12,4,7,13,
