#id,creation_time,radius,volume,volume_perc,center_r1,center_r2,center_r3,center_r4,center_r5,center_r6
0,0,15,1,0.000000,10,4,4,14,9,14,
1,0,15,1,0.000000,10,11,5,12,10,12,
2,0,15,1,0.000000,2,7,10,2,3,9,
3,1,14,1,0.000000,13,1,13,10,11,14,
4,1,14,1,0.000000,0,9,14,8,2,2,
5,1,14,1,0.000000,7,12,6,11,11,0,
6,2,13,1,0.000000,10,5,11,15,1,5,
7,2,13,1,0.000000,12,3,13,6,5,0,
8,2,13,1,0.000000,0,2,1,13,13,13,
9,3,12,1,0.000000,11,13,6,9,5,8,
10,3,12,1,0.000000,11,13,5,2,8,0,
11,3,12,1,0.000000,2,2,5,13,2,6,
12,4,11,1,0.000000,3,14,9,0,4,14,
13,4,11,1,0.000000,0,4,1,2,1,14,
14,4,11,1,0.000000,15,12,11,5,6,1,
15,5,10,1,0.000000,13,1,14,2,3,6,
16,5,10,1,0.000000,2,5,9,7,3,11,
17,5,10,1,0.000000,13,6,9,6,6,13,
18,6,9,1,0.000000,5,6,2,6,8,3,
19,6,9,1,0.000000,4,7,0,15,12,6,
20,6,9,1,0.000000,0,10,7,14,12,11,
21,7,8,1,0.000000,5,15,0,14,6,3,
22,7,8,1,0.000000,9,4,9,2,10,15,
23,7,8,1,0.000000,15,15,6,1,5,14,
24,8,7,1,0.000000,5,9,6,5,9,2,
25,8,7,1,0.000000,11,9,12,2,8,9,
26,9,6,1,0.000000,1,4,2,11,6,13,
27,9,6,1,0.000000,10,5,12,0,7,2,
28,9,6,1,0.000000,15,12,11,5,1,4,
29,10,5,1,0.000000,7,12,14,4,14,6,
30,10,5,1,0.000000,3,11,2,6,6,8,
31,11,4,1,0.000000,1,0,0,13,5,1,
32,11,4,1,0.000000,1,13,13,15,1,12,
33,12,3,1,0.000000,6,6,13,8,12,4,
34,12,3,1,0.000000,0,15,5,14,15,6,
35,13,2,1,0.000000,2,0,7,3,13,12,
36,13,2,1,0.000000,4,15,9,2,14,10,
