#id,creation_time,radius,volume,volume_perc,center_r1,center_r2,center_r3,center_r4,center_r5
0,0,28,1,0.000000,14,5,18,14,13,
1,0,28,1,0.000000,20,13,0,18,13,
2,0,28,1,0.000000,24,27,13,5,9,
3,1,20,1,0.000000,10,8,1,25,15,
4,1,20,1,0.000000,25,24,23,25,16,
5,1,20,1,0.000000,6,4,0,11,12,
6,2,14,1,0.000000,14,9,18,16,23,
7,2,14,1,0.000000,15,20,21,16,10,
8,2,14,1,0.000000,6,12,22,3,1,
9,3,9,1,0.000000,15,26,22,16,23,
10,3,9,1,0.000000,9,26,3,16,23,
11,3,9,1,0.000000,3,22,11,15,18,
12,4,5,1,0.000000,24,1,27,26,2,
13,4,5,1,0.000000,7,25,22,0,13,
