#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,50,50,50,50,50,0.000003
1,0,0,50,0,50,0.000003
2,0,0,50,0,50,0.000003
3,0,0,50,100,150,0.000009
4,0,0,50,100,250,0.000016
5,0,0,50,100,350,0.000022
6,0,0,50,100,450,0.000028
7,0,0,50,200,650,0.000041
8,0,0,50,200,850,0.000053
9,0,0,50,200,1050,0.000066
10,0,0,50,200,1250,0.000078
11,0,0,50,300,1550,0.000097
12,0,0,50,300,1850,0.000116
13,0,0,50,300,2150,0.000134
14,0,0,50,300,2450,0.000153
15,0,0,50,300,2750,0.000172
16,0,0,50,400,3150,0.000197
17,0,0,50,400,3550,0.000222
18,0,0,50,400,3950,0.000247
19,0,0,50,400,4350,0.000272
20,0,0,50,400,4750,0.000297
21,0,0,50,400,5150,0.000322
22,0,0,50,500,5650,0.000353
23,0,0,50,500,6150,0.000384
24,0,0,50,500,6650,0.000416
25,0,0,50,500,7150,0.000447
26,0,0,50,500,7650,0.000478
27,0,0,50,500,8150,0.000509
28,0,0,50,600,8750,0.000547
29,0,0,50,600,9350,0.000584
30,0,0,50,600,9950,0.000622
31,0,0,50,600,10550,0.000659
32,0,0,50,600,11150,0.000697
33,0,0,50,600,11750,0.000734
34,0,0,50,700,12450,0.000778
35,0,0,50,700,13150,0.000822
36,0,0,50,700,13850,0.000866
37,0,0,50,700,14550,0.000909
38,0,0,50,700,15250,0.000953
39,0,0,50,700,15950,0.000997
40,0,0,50,700,16650,0.001041
41,0,0,50,800,17450,0.001091
42,0,0,50,800,18250,0.001141
43,0,0,50,800,19050,0.001191
44,0,0,50,800,19850,0.001241
45,0,0,50,800,20650,0.001291
46,0,0,50,800,21450,0.001341
47,0,0,50,800,22250,0.001391
48,0,0,50,900,23150,0.001447
49,0,0,50,900,24050,0.001503
50,0,0,50,900,24950,0.001559
51,0,0,50,900,25850,0.001616
52,0,0,50,900,26750,0.001672
53,0,0,50,900,27650,0.001728
54,0,0,50,900,28550,0.001784
55,0,0,50,1000,29550,0.001847
56,0,0,50,1000,30550,0.001909
57,0,0,50,1000,31550,0.001972
58,0,0,50,1000,32550,0.002034
59,0,0,50,1000,33550,0.002097
60,0,0,50,1000,34550,0.002159
61,0,0,50,983,35533,0.002221
62,0,0,50,1078,36611,0.002288
63,0,0,50,1078,37689,0.002356
64,0,0,50,1078,38767,0.002423
65,0,0,50,1078,39845,0.002490
66,0,0,50,1078,40923,0.002558
67,0,0,50,1078,42001,0.002625
68,0,0,50,1078,43079,0.002692
69,0,0,50,1078,44157,0.002760
70,0,0,50,1176,45333,0.002833
71,0,0,50,1176,46509,0.002907
72,0,0,50,1176,47685,0.002980
73,0,0,50,1176,48861,0.003054
74,0,0,50,1176,50037,0.003127
75,0,0,50,1176,51213,0.003201
76,0,0,50,1176,52389,0.003274
77,0,0,50,1176,53565,0.003348
78,0,0,50,1274,54839,0.003427
79,0,0,50,1274,56113,0.003507
80,0,0,50,1274,57387,0.003587
81,0,0,50,1274,58661,0.003666
82,0,0,50,1274,59935,0.003746
83,0,0,50,1274,61209,0.003826
84,0,0,50,1274,62483,0.003905
85,0,0,50,1274,63757,0.003985
86,0,0,50,1372,65129,0.004071
87,0,0,50,1372,66501,0.004156
88,0,0,50,1372,67873,0.004242
89,0,0,50,1372,69245,0.004328
90,0,0,50,1372,70617,0.004414
91,0,0,50,1372,71989,0.004499
92,0,0,50,1372,73361,0.004585
93,0,0,50,1372,74733,0.004671
94,0,0,50,1470,76203,0.004763
95,0,0,50,1470,77673,0.004855
96,0,0,50,1470,79143,0.004946
97,0,0,50,1470,80613,0.005038
98,0,0,50,1470,82083,0.005130
99,0,0,50,1470,83553,0.005222
100,0,0,50,1470,85023,0.005314
101,0,0,50,1470,86493,0.005406
102,0,0,50,1568,88061,0.005504
103,0,0,50,1568,89629,0.005602
104,0,0,50,1568,91197,0.005700
105,0,0,50,1568,92765,0.005798
106,0,0,50,1568,94333,0.005896
107,0,0,50,1568,95901,0.005994
108,0,0,50,1568,97469,0.006092
109,0,0,50,1568,99037,0.006190
110,0,0,50,1568,100605,0.006288
111,0,0,50,1666,102271,0.006392
112,0,0,50,1666,103937,0.006496
113,0,0,50,1666,105603,0.006600
114,0,0,50,1666,107269,0.006704
115,0,0,50,1666,108935,0.006808
116,0,0,50,1666,110601,0.006913
117,0,0,50,1666,112267,0.007017
118,0,0,50,1666,113933,0.007121
119,0,0,50,1764,115697,0.007231
120,0,0,50,1764,117461,0.007341
121,0,0,50,1764,119225,0.007452
122,0,0,50,1764,120989,0.007562
123,0,0,50,1764,122753,0.007672
124,0,0,50,1764,124517,0.007782
125,0,0,50,1764,126281,0.007893
126,0,0,50,1764,128045,0.008003
127,0,0,50,1764,129809,0.008113
128,0,0,50,1862,131671,0.008229
129,0,0,50,1862,133533,0.008346
130,0,0,50,1862,135395,0.008462
131,0,0,50,1862,137257,0.008579
132,0,0,50,1862,139119,0.008695
133,0,0,50,1862,140981,0.008811
134,0,0,50,1842,142823,0.008926
135,0,0,50,1824,144647,0.009040
136,0,0,50,1823,146470,0.009154
137,0,0,50,1880,148350,0.009272
138,0,0,50,1880,150230,0.009389
139,0,0,50,1880,152110,0.009507
140,0,0,50,1880,153990,0.009624
141,0,0,50,1880,155870,0.009742
142,0,0,50,1880,157750,0.009859
143,0,0,50,1880,159630,0.009977
144,0,0,50,1880,161510,0.010094
145,0,0,50,1880,163390,0.010212
146,0,0,50,1974,165364,0.010335
147,0,0,50,1974,167338,0.010459
148,0,0,50,1974,169312,0.010582
149,0,0,50,1974,171286,0.010705
