#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,3,3,3,3,3,0.000000
1,3,3,6,99,102,0.000006
2,3,3,9,699,801,0.000048
3,3,3,12,2277,3078,0.000183
4,3,3,15,6005,9083,0.000541
5,3,3,18,13753,22836,0.001361
6,3,3,21,25069,47905,0.002855
7,3,3,24,41610,89515,0.005336
8,3,3,27,66685,156200,0.009310
9,3,3,30,102677,258877,0.015430
10,3,3,33,146893,405770,0.024186
11,3,3,36,199854,605624,0.036098
12,3,3,39,267251,872875,0.052027
13,3,3,42,345448,1218323,0.072618
14,3,3,45,433647,1651970,0.098465
15,3,3,48,522721,2174691,0.129622
16,3,1,49,616343,2791034,0.166359
17,3,3,52,717772,3508806,0.209141
18,3,2,54,811282,4320088,0.257497
19,3,3,57,900068,5220156,0.311146
20,3,1,58,978246,6198402,0.369454
21,3,2,60,1053341,7251743,0.432238
22,3,2,62,1100555,8352298,0.497836
23,3,2,64,1116284,9468582,0.564371
24,3,1,65,1094991,10563573,0.629638
25,3,2,67,1033968,11597541,0.691267
26,3,2,69,958723,12556264,0.748412
27,3,1,70,861546,13417810,0.799764
28,3,1,71,754378,14172188,0.844728
29,3,0,71,634495,14806683,0.882547
30,3,1,72,514565,15321248,0.913218
31,3,0,72,407496,15728744,0.937506
