#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,3,3,3,3,3,0.000000
1,3,3,6,291,294,0.000018
2,3,3,9,1047,1341,0.000084
3,3,3,12,2247,3588,0.000224
4,3,3,15,3939,7527,0.000470
5,3,3,18,6159,13686,0.000855
6,3,3,21,8799,22485,0.001405
7,3,3,24,11907,34392,0.002149
8,3,3,27,15507,49899,0.003119
9,3,3,30,19527,69426,0.004339
10,3,3,33,24031,93457,0.005841
11,3,3,36,28956,122413,0.007651
12,3,3,39,34287,156700,0.009794
13,3,3,42,39898,196598,0.012287
14,3,3,45,45738,242336,0.015146
15,3,3,48,52129,294465,0.018404
16,3,3,51,59035,353500,0.022094
17,3,3,54,66324,419824,0.026239
18,3,3,57,74002,493826,0.030864
19,3,3,60,81736,575562,0.035973
20,3,3,63,89945,665507,0.041594
21,3,3,66,98405,763912,0.047745
22,3,3,69,107305,871217,0.054451
23,3,3,72,116319,987536,0.061721
24,3,3,75,125662,1113198,0.069575
25,3,2,77,135780,1248978,0.078061
26,3,3,80,146148,1395126,0.087195
27,3,3,83,156312,1551438,0.096965
28,3,3,86,167055,1718493,0.107406
29,3,3,89,178030,1896523,0.118533
30,3,3,92,189122,2085645,0.130353
31,3,3,95,200654,2286299,0.142894
32,3,2,97,212230,2498529,0.156158
33,3,1,98,224088,2722617,0.170164
34,3,3,101,234839,2957456,0.184841
35,3,3,104,245202,3202658,0.200166
36,3,3,107,254886,3457544,0.216096
37,3,1,108,263654,3721198,0.232575
38,3,1,109,271458,3992656,0.249541
39,3,2,111,278625,4271281,0.266955
40,3,2,113,284171,4555452,0.284716
41,3,3,116,291238,4846690,0.302918
42,3,2,118,297201,5143891,0.321493
43,3,2,120,301359,5445250,0.340328
44,3,1,121,306295,5751545,0.359472
45,3,3,124,310028,6061573,0.378848
46,3,1,125,311948,6373521,0.398345
47,3,3,128,314476,6687997,0.418000
48,3,2,130,317668,7005665,0.437854
49,3,3,133,319692,7325357,0.457835
50,3,1,134,319605,7644962,0.477810
51,3,1,135,316485,7961447,0.497590
52,3,2,137,314305,8275752,0.517235
53,3,2,139,311865,8587617,0.536726
54,3,2,141,308876,8896493,0.556031
55,3,0,141,305015,9201508,0.575094
56,3,3,144,301355,9502863,0.593929
57,3,1,145,296173,9799036,0.612440
58,3,1,146,291690,10090726,0.630670
59,3,2,148,286144,10376870,0.648554
60,3,1,149,278720,10655590,0.665974
61,3,0,149,271484,10927074,0.682942
62,3,1,150,262965,11190039,0.699377
63,3,1,151,256521,11446560,0.715410
64,3,0,151,250089,11696649,0.731041
65,3,0,151,242956,11939605,0.746225
66,3,0,151,237474,12177079,0.761067
67,3,1,152,231982,12409061,0.775566
68,3,1,153,225450,12634511,0.789657
69,3,0,153,216000,12850511,0.803157
70,3,0,153,204984,13055495,0.815968
71,3,0,153,193106,13248601,0.828038
72,3,1,154,182610,13431211,0.839451
73,3,1,155,172933,13604144,0.850259
74,3,0,155,163617,13767761,0.860485
75,3,1,156,153445,13921206,0.870075
76,3,1,157,146081,14067287,0.879205
77,3,1,158,138421,14205708,0.887857
78,3,0,158,130170,14335878,0.895992
79,3,0,158,121486,14457364,0.903585
80,3,0,158,113280,14570644,0.910665
81,3,0,158,103977,14674621,0.917164
82,3,1,159,95883,14770504,0.923157
83,3,0,159,89742,14860246,0.928765
84,3,0,159,84286,14944532,0.934033
85,3,0,159,79213,15023745,0.938984
86,3,0,159,74379,15098124,0.943633
87,3,0,159,69553,15167677,0.947980
