#id,creation_time,radius,volume,volume_perc,center_r1,center_r2,center_r3,center_r4
0,0,34,1,0.000000,29,2,62,55,
1,0,34,1,0.000000,32,6,43,43,
2,0,34,1,0.000000,2,42,9,59,
3,1,33,1,0.000000,33,35,60,38,
4,1,33,1,0.000000,22,17,5,25,
5,1,33,1,0.000000,14,37,37,42,
6,2,32,1,0.000000,59,32,13,33,
7,2,32,1,0.000000,34,36,48,63,
8,2,32,1,0.000000,38,46,54,7,
9,3,31,1,0.000000,53,33,50,55,
10,3,31,1,0.000000,11,59,50,45,
11,3,31,1,0.000000,30,46,19,52,
12,4,30,1,0.000000,0,24,13,14,
13,4,30,1,0.000000,62,50,56,57,
14,4,30,1,0.000000,18,5,26,52,
15,5,29,1,0.000000,41,10,51,16,
16,5,29,1,0.000000,57,41,23,46,
17,5,29,1,0.000000,10,9,37,22,
18,6,28,1,0.000000,4,24,3,34,
19,6,28,1,0.000000,6,22,23,6,
20,6,28,1,0.000000,47,36,20,45,
21,7,27,1,0.000000,23,12,38,41,
22,7,27,1,0.000000,18,0,30,59,
23,7,27,1,0.000000,10,17,11,3,
24,8,26,1,0.000000,59,34,49,5,
25,8,26,1,0.000000,43,23,27,47,
26,8,26,1,0.000000,47,30,18,53,
27,9,25,1,0.000000,53,41,60,36,
28,9,25,1,0.000000,13,16,17,36,
29,9,25,1,0.000000,29,55,14,47,
30,10,24,1,0.000000,55,44,42,1,
31,10,24,1,0.000000,61,54,5,56,
32,10,24,1,0.000000,24,54,62,4,
33,11,23,1,0.000000,13,25,51,60,
34,11,23,1,0.000000,56,5,50,45,
35,11,23,1,0.000000,46,46,17,60,
36,12,22,1,0.000000,62,34,32,27,
37,12,22,1,0.000000,25,46,10,16,
38,12,22,1,0.000000,26,53,17,24,
39,13,21,1,0.000000,43,22,16,3,
40,13,21,1,0.000000,40,59,23,32,
41,14,20,1,0.000000,0,9,13,47,
42,14,20,1,0.000000,0,11,17,25,
43,15,19,1,0.000000,58,27,41,20,
44,15,19,1,0.000000,16,58,44,59,
45,15,19,1,0.000000,17,61,63,30,
46,16,18,1,0.000000,11,6,56,51,
47,16,18,1,0.000000,1,15,19,2,
48,16,18,1,0.000000,24,32,49,15,
49,17,17,1,0.000000,62,28,5,62,
50,17,17,1,0.000000,39,22,23,33,
51,17,17,1,0.000000,49,0,54,2,
52,18,16,1,0.000000,59,34,61,12,
53,18,16,1,0.000000,31,60,42,43,
54,18,16,1,0.000000,3,34,30,4,
55,19,15,1,0.000000,50,50,6,10,
56,19,15,1,0.000000,18,55,26,17,
57,19,15,1,0.000000,19,31,15,59,
58,20,14,1,0.000000,53,38,46,20,
59,22,12,1,0.000000,40,17,51,59,
60,22,12,1,0.000000,42,19,12,17,
61,24,10,1,0.000000,61,26,63,37,
62,24,10,1,0.000000,44,50,32,28,
63,26,8,1,0.000000,7,60,56,20,
64,26,8,1,0.000000,9,27,48,6,
65,27,7,1,0.000000,54,47,43,34,
66,28,6,1,0.000000,14,40,28,17,
67,29,5,1,0.000000,4,15,58,13,
68,30,4,1,0.000000,51,21,33,0,
69,32,2,1,0.000000,6,61,7,32,
70,32,2,1,0.000000,59,10,29,5,
