#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,50,50,50,50,50,0.000003
1,0,0,50,0,50,0.000003
2,0,0,50,0,50,0.000003
3,0,0,50,890,940,0.000060
4,0,0,50,3050,3990,0.000255
5,0,0,50,4800,8790,0.000563
6,0,0,50,10214,19004,0.001216
7,0,0,50,38060,57064,0.003652
8,0,0,50,63267,120331,0.007701
9,0,0,50,108529,228860,0.014647
10,0,0,50,145735,374595,0.023974
11,0,0,50,315711,690306,0.044180
12,0,0,50,463015,1153321,0.073813
13,0,0,50,589510,1742831,0.111541
14,0,0,50,720370,2463201,0.157645
15,0,0,50,872401,3335602,0.213479
16,0,0,50,1349824,4685426,0.299867
17,0,0,50,1513350,6198776,0.396722
18,0,0,50,1607562,7806338,0.499606
19,0,0,50,1609279,9415617,0.602599
20,0,0,50,1460282,10875899,0.696058
21,0,0,50,1260692,12136591,0.776742
22,0,0,50,1197136,13333727,0.853359
23,0,0,50,839746,14173473,0.907102
24,0,0,50,558585,14732058,0.942852
