#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,3,3,3,3,3,0.000000
1,3,3,6,197,200,0.000012
2,3,3,9,3070,3270,0.000195
3,3,3,12,19464,22734,0.001355
4,3,3,15,75870,98604,0.005877
5,3,3,18,217977,316581,0.018870
6,3,3,21,501921,818502,0.048787
7,3,3,24,990941,1809443,0.107851
8,3,3,27,1634269,3443712,0.205261
9,3,2,29,2216357,5660069,0.337366
10,3,2,31,2551493,8211562,0.489447
11,3,1,32,2586564,10798126,0.643618
12,3,1,33,2345960,13144086,0.783449
13,3,0,33,1792475,14936561,0.890288
