#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,64,64,64,64,64,0.000512
1,0,0,64,1114,1178,0.009424
2,0,0,64,3651,4829,0.038632
3,0,0,64,5352,10181,0.081448
4,0,0,64,9973,20154,0.161232
5,0,0,64,13551,33705,0.269640
6,0,0,64,13973,47678,0.381424
7,0,0,64,14630,62308,0.498464
8,0,0,64,13685,75993,0.607944
9,0,0,64,14458,90451,0.723608
10,0,0,64,10132,100583,0.804664
11,0,0,64,7553,108136,0.865088
12,0,0,64,5883,114019,0.912152
13,0,0,64,4256,118275,0.946200
