# log(t);log(-log(1-X))
0.0000000000,-12.7168967693
0.6931471806,-12.7168967693
1.0986122887,-9.7211359950
1.3862943611,-8.2663059593
1.6094379124,-7.4731050720
1.7917594692,-6.6985000974
1.9459101491,-5.5892105782
2.0794415417,-4.8321117343
2.1972245773,-4.1832628415
2.3025850930,-3.6874895756
2.3978952728,-3.0679749827
2.4849066498,-2.5361188624
2.5649493575,-2.1004112330
2.6390573296,-1.7277422745
2.7080502011,-1.3959347903
2.7725887222,-1.0145472322
2.8332133441,-0.6842452047
2.8903717579,-0.3928900648
2.9444389792,-0.1306203156
2.9957322736,0.1051827768
3.0445224377,0.3111076010
3.0910424534,0.5175327128
3.1354942159,0.6830867390
3.1780538303,0.8186258863
3.2188758249,0.9389204617
3.2580965380,1.0490220719
