#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,3,3,3,3,3,0.000000
1,3,3,6,99,102,0.000006
2,3,3,9,699,801,0.000048
3,3,3,12,2283,3084,0.000184
4,3,3,15,6104,9188,0.000548
5,3,3,18,14183,23371,0.001393
6,3,3,21,26272,49643,0.002959
7,3,3,24,44131,93774,0.005589
8,3,3,27,70158,163932,0.009771
9,3,3,30,106586,270518,0.016124
10,3,3,33,151308,421826,0.025143
11,3,3,36,204897,626723,0.037356
12,3,3,39,274130,900853,0.053695
13,3,3,42,354869,1255722,0.074847
14,3,3,45,447985,1703707,0.101549
15,3,3,48,546717,2250424,0.134136
16,3,3,51,657395,2907819,0.173320
17,3,2,53,770589,3678408,0.219250
18,3,3,56,876468,4554876,0.271492
19,3,3,59,969478,5524354,0.329277
20,3,2,61,1045353,6569707,0.391585
21,3,1,62,1107101,7676808,0.457573
22,3,3,65,1127246,8804054,0.524763
23,3,2,67,1111284,9915338,0.591000
24,3,0,67,1057516,10972854,0.654033
25,3,1,68,964072,11936926,0.711496
26,3,0,68,842926,12779852,0.761739
27,3,1,69,721802,13501654,0.804761
28,3,1,70,612130,14113784,0.841247
29,3,0,70,506130,14619914,0.871415
30,3,1,71,422461,15042375,0.896595
31,3,0,71,355110,15397485,0.917762
32,3,0,71,296692,15694177,0.935446
33,3,0,71,243552,15937729,0.949963
