#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,256,256,256,256,256,0.000041
1,0,0,256,7920,8176,0.001308
2,0,0,256,47913,56089,0.008974
3,0,0,256,121336,177425,0.028388
4,0,0,256,274581,452006,0.072321
5,0,0,256,521217,973223,0.155716
6,0,0,256,682043,1655266,0.264843
7,0,0,256,833198,2488464,0.398154
8,0,0,256,932894,3421358,0.547417
9,0,0,256,907062,4328420,0.692547
10,0,0,256,701406,5029826,0.804772
11,0,0,256,491860,5521686,0.883470
12,0,0,256,327353,5849039,0.935846
